,message_arrived,message_sent,processing_start_time,processing_end_time,processing_delay,network_delay,overall_delay
166,1557911391.680269,1557911391.5244913,1557911391.725792,1557911392.1365962,0.41080427169799805,0.1557776927947998,0.5665819644927979
167,1557911392.6207118,1557911392.529934,1557911392.661272,1557911393.072852,0.41157984733581543,0.09077787399291992,0.5023577213287354
168,1557911393.7434266,1557911393.5364325,1557911393.7811,1557911394.120468,0.3393678665161133,0.20699405670166016,0.5463619232177734
169,1557911394.718178,1557911394.5417454,1557911394.8108401,1557911395.201809,0.39096879959106445,0.17643260955810547,0.5674014091491699
170,1557911395.659782,1557911395.5487714,1557911395.69742,1557911396.045951,0.34853100776672363,0.11101055145263672,0.45954155921936035
171,1557911396.6560194,1557911396.554518,1557911396.9141529,1557911397.309216,0.3950631618499756,0.10150146484375,0.4965646266937256
172,1557911397.6169171,1557911397.5595422,1557911397.717663,1557911398.109176,0.3915128707885742,0.05737495422363281,0.44888782501220703
173,1557911398.6719196,1557911398.5639925,1557911398.711735,1557911399.150089,0.4383540153503418,0.10792708396911621,0.546281099319458
174,1557911399.8449476,1557911399.569665,1557911399.8850071,1557911400.270068,0.38506078720092773,0.275282621383667,0.6603434085845947
175,1557911400.8670228,1557911400.5743566,1557911400.894407,1557911401.2667382,0.3723311424255371,0.2926661968231201,0.6649973392486572
176,1557911401.7459462,1557911401.5807672,1557911401.731595,1557911402.0666661,0.3350710868835449,0.16517901420593262,0.5002501010894775
177,1557911402.9617968,1557911402.5853992,1557911403.005744,1557911403.397001,0.39125704765319824,0.37639760971069336,0.7676546573638916
178,1557911403.9839756,1557911403.5897546,1557911404.1187391,1557911404.4716198,0.35288071632385254,0.39422106742858887,0.7471017837524414
179,1557911404.7367804,1557911404.5949762,1557911404.821685,1557911405.201762,0.38007688522338867,0.14180421829223633,0.521881103515625
180,1557911405.7110426,1557911405.6000078,1557911405.747719,1557911406.085818,0.33809900283813477,0.11103487014770508,0.44913387298583984
181,1557911406.7069936,1557911406.6048634,1557911406.746599,1557911407.138032,0.3914330005645752,0.10213017463684082,0.493563175201416
182,1557911407.7097955,1557911407.6092172,1557911407.750169,1557911408.182349,0.43217992782592773,0.10057830810546875,0.5327582359313965
183,1557911408.66641,1557911408.6141868,1557911408.706556,1557911409.0411491,0.3345930576324463,0.05222320556640625,0.38681626319885254
184,1557911409.7722108,1557911409.6192276,1557911409.808251,1557911410.206998,0.39874720573425293,0.1529831886291504,0.5517303943634033
185,1557911410.9370835,1557911410.625451,1557911410.9720118,1557911411.386329,0.41431713104248047,0.3116323947906494,0.7259495258331299
186,1557911411.6814895,1557911411.6327815,1557911411.720692,1557911412.055309,0.33461713790893555,0.04870796203613281,0.38332509994506836
187,1557911412.7349384,1557911412.638476,1557911412.774473,1557911413.186858,0.4123849868774414,0.09646248817443848,0.5088474750518799
188,1557911413.7465255,1557911413.6433034,1557911413.7866359,1557911414.174275,0.38763904571533203,0.10322213172912598,0.490861177444458
189,1557911414.7075412,1557911414.648692,1557911414.80288,1557911415.142802,0.3399219512939453,0.058849334716796875,0.3987712860107422
190,1557911415.826269,1557911415.6541185,1557911415.850955,1557911416.186348,0.33539295196533203,0.1721503734588623,0.5075433254241943
191,1557911416.7575758,1557911416.6600804,1557911417.01088,1557911417.363709,0.3528289794921875,0.09749531745910645,0.45032429695129395
192,1557911417.717883,1557911417.6665301,1557911417.87901,1557911418.2310839,0.35207390785217285,0.05135297775268555,0.4034268856048584
193,1557911418.7228472,1557911418.6719193,1557911418.7638779,1557911419.097757,0.3338792324066162,0.05092787742614746,0.38480710983276367
194,1557911419.824087,1557911419.6777744,1557911419.861441,1557911420.264081,0.40264010429382324,0.14631247520446777,0.548952579498291
195,1557911420.7315226,1557911420.6828573,1557911420.7719288,1557911421.1084,0.3364713191986084,0.04866528511047363,0.38513660430908203
196,1557911421.778725,1557911421.689047,1557911421.819081,1557911422.153718,0.334636926651001,0.08967781066894531,0.4243147373199463
197,1557911422.748739,1557911422.6946325,1557911422.904517,1557911423.286906,0.3823890686035156,0.05410647392272949,0.4364955425262451
198,1557911423.7989028,1557911423.700508,1557911424.048438,1557911424.438501,0.3900628089904785,0.09839463233947754,0.48845744132995605
199,1557911424.816415,1557911424.7067866,1557911424.855046,1557911425.202713,0.34766697883605957,0.10962843894958496,0.45729541778564453
200,1557911425.8070533,1557911425.712096,1557911425.846856,1557911426.1806,0.3337438106536865,0.09495735168457031,0.42870116233825684
201,1557911426.810275,1557911426.7175202,1557911426.849709,1557911427.186485,0.3367760181427002,0.09275484085083008,0.4295308589935303
202,1557911427.8253784,1557911427.7226546,1557911427.865802,1557911428.202134,0.336331844329834,0.10272383689880371,0.4390556812286377
203,1557911428.82421,1557911428.7270367,1557911428.864686,1557911429.199116,0.3344299793243408,0.09717321395874023,0.43160319328308105
204,1557911429.8202536,1557911429.732091,1557911429.859555,1557911430.197247,0.3376920223236084,0.08816266059875488,0.4258546829223633
205,1557911430.850978,1557911430.7380414,1557911431.153729,1557911431.515802,0.3620729446411133,0.11293649673461914,0.4750094413757324
206,1557911431.8635268,1557911431.7443585,1557911431.898174,1557911432.2863731,0.3881990909576416,0.11916828155517578,0.5073673725128174
207,1557911432.8126595,1557911432.7497818,1557911432.853734,1557911433.264175,0.41044092178344727,0.06287765502929688,0.47331857681274414
208,1557911433.846984,1557911433.7549355,1557911433.888324,1557911434.2259529,0.3376288414001465,0.09204840660095215,0.42967724800109863
209,1557911434.8708382,1557911434.7596345,1557911434.912343,1557911435.27828,0.3659369945526123,0.11120367050170898,0.4771406650543213
210,1557911435.8703382,1557911435.765543,1557911435.909734,1557911436.243327,0.33359289169311523,0.10479521751403809,0.4383881092071533
211,1557911436.8221927,1557911436.770724,1557911436.862768,1557911437.258142,0.395374059677124,0.051468610763549805,0.44684267044067383
212,1557911437.8665595,1557911437.776134,1557911438.120816,1557911438.500727,0.379910945892334,0.09042549133300781,0.4703364372253418
213,1557911438.8805196,1557911438.780676,1557911438.919274,1557911439.296148,0.3768739700317383,0.09984374046325684,0.4767177104949951
214,1557911439.8850925,1557911439.7852097,1557911439.925704,1557911440.3276038,0.4018998146057129,0.09988284111022949,0.5017826557159424
215,1557911440.8540525,1557911440.7910216,1557911440.9501052,1557911441.285441,0.33533573150634766,0.06303095817565918,0.39836668968200684
216,1557911441.894492,1557911441.7972307,1557911441.936456,1557911442.282745,0.34628891944885254,0.09726119041442871,0.44355010986328125
217,1557911442.9012284,1557911442.8026707,1557911442.941209,1557911443.27661,0.3354008197784424,0.09855771064758301,0.4339585304260254
218,1557911443.9239602,1557911443.8073635,1557911443.964453,1557911444.343387,0.3789339065551758,0.11659669876098633,0.4955306053161621
219,1557911444.8636644,1557911444.8124142,1557911445.127417,1557911445.460007,0.33258986473083496,0.05125021934509277,0.38384008407592773
220,1557911445.936965,1557911445.8170245,1557911445.97379,1557911446.321847,0.3480570316314697,0.11994051933288574,0.46799755096435547
221,1557911446.9183226,1557911446.8219476,1557911446.958852,1557911447.348019,0.38916683197021484,0.0963749885559082,0.48554182052612305
222,1557911447.878453,1557911447.827006,1557911447.973604,1557911448.3762698,0.4026658535003662,0.05144691467285156,0.4541127681732178
223,1557911448.9449732,1557911448.8324132,1557911448.9827962,1557911449.3775,0.39470386505126953,0.11256003379821777,0.5072638988494873
224,1557911449.9388814,1557911449.8376155,1557911449.976892,1557911450.3364382,0.3595461845397949,0.10126590728759766,0.4608120918273926
225,1557911450.8892975,1557911450.8419282,1557911450.933187,1557911451.328752,0.3955650329589844,0.04736924171447754,0.4429342746734619
226,1557911452.1505675,1557911451.846868,1557911452.1878731,1557911452.576586,0.38871288299560547,0.3036994934082031,0.6924123764038086
227,1557911452.9009194,1557911452.8518176,1557911452.941507,1557911453.332061,0.39055395126342773,0.049101829528808594,0.43965578079223633
228,1557911453.9479814,1557911453.8572106,1557911454.046269,1557911454.445479,0.39920997619628906,0.09077072143554688,0.48998069763183594
229,1557911454.9909544,1557911454.8640225,1557911455.029447,1557911455.461335,0.4318878650665283,0.12693190574645996,0.5588197708129883
230,1557911455.9179664,1557911455.8693182,1557911455.95895,1557911456.39265,0.4336998462677002,0.04864811897277832,0.4823479652404785
231,1557911457.0262878,1557911456.8744054,1557911457.062351,1557911457.435908,0.37355709075927734,0.15188241004943848,0.5254395008087158
232,1557911457.9373982,1557911457.8812168,1557911458.189955,1557911458.614053,0.42409801483154297,0.05618143081665039,0.48027944564819336
233,1557911459.1846936,1557911458.8878305,1557911459.22424,1557911459.674562,0.45032191276550293,0.2968630790710449,0.7471849918365479
234,1557911459.969016,1557911459.8921,1557911460.008216,1557911460.398874,0.3906581401824951,0.07691597938537598,0.4675741195678711
235,1557911460.9986632,1557911460.8974266,1557911461.037082,1557911461.4215212,0.38443922996520996,0.10123658180236816,0.4856758117675781
236,1557911462.226552,1557911461.9039848,1557911462.09663,1557911462.4834619,0.38683176040649414,0.3225672245025635,0.7093989849090576
237,1557911463.036164,1557911462.9089866,1557911463.070744,1557911463.469566,0.3988220691680908,0.12717747688293457,0.5259995460510254
238,1557911464.0944836,1557911463.9139152,1557911464.007555,1557911464.45035,0.4427950382232666,0.18056845664978027,0.6233634948730469
239,1557911465.2448454,1557911464.9202495,1557911465.281894,1557911465.616102,0.33420801162719727,0.32459592819213867,0.6588039398193359
240,1557911466.0182045,1557911465.9250288,1557911466.0579581,1557911466.411934,0.353975772857666,0.09317564964294434,0.44715142250061035
241,1557911467.0296752,1557911466.930511,1557911467.069448,1557911467.405578,0.33612990379333496,0.09916424751281738,0.43529415130615234
242,1557911467.986359,1557911467.9344542,1557911468.027472,1557911468.429584,0.4021120071411133,0.05190467834472656,0.45401668548583984
243,1557911469.030262,1557911468.938882,1557911469.125417,1557911469.525281,0.39986395835876465,0.09137988090515137,0.491243839263916
244,1557911470.0385287,1557911469.9431336,1557911470.0782962,1557911470.413099,0.33480286598205566,0.09539508819580078,0.43019795417785645
245,1557911471.0440845,1557911470.9479392,1557911471.299138,1557911471.637851,0.3387129306793213,0.0961453914642334,0.4348583221435547
246,1557911472.0582695,1557911471.9518554,1557911472.0965211,1557911472.43244,0.3359189033508301,0.1064140796661377,0.4423329830169678
247,1557911473.060493,1557911472.9562376,1557911473.098272,1557911473.437554,0.3392817974090576,0.10425543785095215,0.44353723526000977
248,1557911474.0092306,1557911473.9613097,1557911474.0482152,1557911474.381782,0.33356690406799316,0.047920942306518555,0.3814878463745117
249,1557911475.1181102,1557911474.9654045,1557911475.211277,1557911475.5929382,0.38166117668151855,0.15270566940307617,0.5343668460845947
250,1557911476.2224252,1557911475.970368,1557911476.264748,1557911476.666709,0.4019608497619629,0.2520573139190674,0.6540181636810303
251,1557911477.081904,1557911476.9751985,1557911477.122122,1557911477.463034,0.340911865234375,0.1067054271697998,0.4476172924041748
252,1557911478.0717692,1557911477.9792356,1557911478.37511,1557911478.709516,0.33440613746643066,0.09253358840942383,0.4269397258758545
253,1557911479.0904474,1557911478.9839675,1557911479.1299288,1557911479.465965,0.33603620529174805,0.10647988319396973,0.4425160884857178
254,1557911480.0400186,1557911479.9885404,1557911480.080517,1557911480.444485,0.3639678955078125,0.05147814750671387,0.41544604301452637
255,1557911481.0956676,1557911480.993174,1557911481.133497,1557911481.516658,0.3831610679626465,0.1024935245513916,0.4856545925140381
256,1557911482.10061,1557911481.9988992,1557911482.138327,1557911482.4730449,0.3347179889678955,0.10171079635620117,0.4364287853240967
257,1557911483.1104953,1557911483.0035136,1557911483.151405,1557911483.537141,0.38573598861694336,0.10698175430297852,0.4927177429199219
258,1557911484.0564876,1557911484.007854,1557911484.0976589,1557911484.433875,0.3362162113189697,0.048633575439453125,0.38484978675842285
259,1557911485.3377914,1557911485.0122313,1557911485.375092,1557911485.760016,0.38492393493652344,0.3255600929260254,0.7104840278625488
260,1557911486.0780272,1557911486.0176795,1557911486.117573,1557911486.450512,0.33293890953063965,0.060347795486450195,0.39328670501708984
261,1557911487.129195,1557911487.0225568,1557911487.2269619,1557911487.563859,0.3368971347808838,0.10663819313049316,0.44353532791137695
262,1557911488.15251,1557911488.0278685,1557911488.1917741,1557911488.528347,0.33657288551330566,0.12464141845703125,0.4612143039703369
263,1557911489.1328905,1557911489.0335708,1557911489.172899,1557911489.559148,0.3862490653991699,0.0993196964263916,0.4855687618255615
264,1557911490.1374388,1557911490.039743,1557911490.177155,1557911490.570009,0.3928539752960205,0.09769582748413086,0.49054980278015137
265,1557911491.168578,1557911491.0454874,1557911491.4193869,1557911491.818689,0.39930224418640137,0.12309050559997559,0.522392749786377
266,1557911492.1000755,1557911492.0502074,1557911492.139741,1557911492.473178,0.3334369659423828,0.049868106842041016,0.38330507278442383
267,1557911493.1630216,1557911493.0558546,1557911493.198912,1557911493.580671,0.3817591667175293,0.10716700553894043,0.4889261722564697
268,1557911494.1685698,1557911494.0598648,1557911494.2048619,1557911494.5529509,0.34808897972106934,0.10870504379272461,0.45679402351379395
269,1557911495.1726928,1557911495.0649445,1557911495.20918,1557911495.600395,0.39121484756469727,0.10774827003479004,0.4989631175994873
270,1557911496.117384,1557911496.0699015,1557911496.158719,1557911496.540577,0.38185787200927734,0.04748249053955078,0.4293403625488281
271,1557911497.1660476,1557911497.0755398,1557911497.205538,1557911497.617225,0.41168689727783203,0.09050774574279785,0.5021946430206299
272,1557911498.1951652,1557911498.0814698,1557911498.451336,1557911498.836556,0.3852200508117676,0.11369538307189941,0.498915433883667
273,1557911499.2088892,1557911499.089183,1557911499.249842,1557911499.655975,0.40613317489624023,0.1197061538696289,0.5258393287658691
274,1557911500.197466,1557911500.0948546,1557911500.2390869,1557911500.577809,0.33872222900390625,0.10261130332946777,0.441333532333374
275,1557911501.2091222,1557911501.099455,1557911501.249671,1557911501.586676,0.3370048999786377,0.10966706275939941,0.4466719627380371
276,1557911502.2041187,1557911502.1041887,1557911502.245192,1557911502.580509,0.33531689643859863,0.0999300479888916,0.43524694442749023
277,1557911503.208258,1557911503.108675,1557911503.249455,1557911503.5898151,0.340360164642334,0.09958291053771973,0.4399430751800537
278,1557911504.2178335,1557911504.1134984,1557911504.260081,1557911504.668538,0.40845704078674316,0.10433506965637207,0.5127921104431152
279,1557911505.2162886,1557911505.1183455,1557911505.4822881,1557911505.819958,0.33766984939575195,0.09794306755065918,0.43561291694641113
280,1557911506.2590244,1557911506.1239564,1557911506.296977,1557911506.630649,0.33367204666137695,0.13506793975830078,0.46873998641967773
281,1557911507.232067,1557911507.1290612,1557911507.2721632,1557911507.608391,0.3362278938293457,0.10300588607788086,0.43923377990722656
282,1557911508.2413092,1557911508.133316,1557911508.281722,1557911508.657864,0.3761420249938965,0.10799312591552734,0.48413515090942383
283,1557911509.1891375,1557911509.139994,1557911509.23091,1557911509.5686462,0.3377361297607422,0.04914355278015137,0.38687968254089355
284,1557911510.2429655,1557911510.1449804,1557911510.283559,1557911510.648775,0.3652160167694092,0.09798502922058105,0.46320104598999023
285,1557911511.2633226,1557911511.1512403,1557911511.303234,1557911511.6852279,0.38199377059936523,0.11208224296569824,0.4940760135650635
286,1557911512.2657573,1557911512.1561112,1557911512.535348,1557911512.904972,0.36962413787841797,0.10964608192443848,0.47927021980285645
287,1557911513.2104876,1557911513.1612868,1557911513.310037,1557911513.6897118,0.37967491149902344,0.04920077323913574,0.4288756847381592
288,1557911514.2683914,1557911514.1690047,1557911514.307842,1557911514.7072911,0.39944911003112793,0.09938669204711914,0.49883580207824707
289,1557911515.2779658,1557911515.1739733,1557911515.375747,1557911515.705457,0.3297100067138672,0.10399246215820312,0.4337024688720703
290,1557911516.2887821,1557911516.1803565,1557911516.328699,1557911516.688685,0.3599858283996582,0.10842561721801758,0.4684114456176758
291,1557911517.2768915,1557911517.1875381,1557911517.317879,1557911517.698982,0.3811030387878418,0.08935332298278809,0.4704563617706299
292,1557911518.2957065,1557911518.19287,1557911518.333731,1557911518.686619,0.3528881072998047,0.10283660888671875,0.45572471618652344
293,1557911519.2497284,1557911519.1983204,1557911519.5114071,1557911519.8442981,0.33289098739624023,0.05140805244445801,0.38429903984069824
294,1557911520.3030279,1557911520.2052145,1557911520.342285,1557911520.728822,0.3865370750427246,0.09781336784362793,0.48435044288635254
295,1557911521.3177693,1557911521.210412,1557911521.3579302,1557911521.694323,0.336392879486084,0.10735726356506348,0.44375014305114746
296,1557911522.3487515,1557911522.2155821,1557911522.38273,1557911522.7190552,0.33632516860961914,0.13316941261291504,0.4694945812225342
297,1557911523.3343172,1557911523.2213051,1557911523.375429,1557911523.810713,0.4352841377258301,0.11301207542419434,0.5482962131500244
298,1557911524.5586185,1557911524.2263358,1557911524.457561,1557911524.874957,0.41739606857299805,0.33228278160095215,0.7496788501739502
299,1557911525.940308,1557911525.2327485,1557911525.9875472,1557911526.655214,0.6676669120788574,0.7075595855712891,1.3752264976501465
300,1557911526.4441516,1557911526.2380793,1557911526.6906312,1557911527.028491,0.3378598690032959,0.20607233047485352,0.5439321994781494
301,1557911527.3474514,1557911527.2426536,1557911527.429282,1557911527.848272,0.4189901351928711,0.1047978401184082,0.5237879753112793
302,1557911528.3080633,1557911528.2479525,1557911528.35085,1557911528.710727,0.3598768711090088,0.06011080741882324,0.41998767852783203
303,1557911529.3597898,1557911529.253506,1557911529.461477,1557911529.887627,0.426149845123291,0.10628390312194824,0.5324337482452393
304,1557911530.3609846,1557911530.2607422,1557911530.404575,1557911530.7414858,0.3369107246398926,0.10024237632751465,0.4371531009674072
305,1557911531.3640153,1557911531.2671509,1557911531.4058108,1557911531.7427142,0.33690333366394043,0.09686446189880371,0.43376779556274414
306,1557911532.3256974,1557911532.2723055,1557911532.424715,1557911532.814133,0.3894178867340088,0.05339193344116211,0.4428098201751709
307,1557911533.6508994,1557911533.27809,1557911533.686034,1557911534.022528,0.33649396896362305,0.37280941009521484,0.7093033790588379
308,1557911534.3941526,1557911534.2822554,1557911534.4323099,1557911534.766525,0.3342151641845703,0.11189723014831543,0.44611239433288574
309,1557911535.4672234,1557911535.2879126,1557911535.50501,1557911535.83965,0.3346400260925293,0.17931079864501953,0.5139508247375488
310,1557911536.534835,1557911536.2929928,1557911536.571564,1557911536.95277,0.38120603561401367,0.24184226989746094,0.6230483055114746
311,1557911537.4017372,1557911537.2995968,1557911537.442585,1557911537.778064,0.3354790210723877,0.10214042663574219,0.4376194477081299
312,1557911538.4572062,1557911538.3054538,1557911538.498032,1557911538.8329089,0.33487677574157715,0.15175247192382812,0.4866292476654053
313,1557911539.4168212,1557911539.3108768,1557911539.4591382,1557911539.841027,0.38188886642456055,0.10594439506530762,0.48783326148986816
314,1557911540.6002975,1557911540.3179364,1557911540.63875,1557911540.9738061,0.3350560665130615,0.2823610305786133,0.6174170970916748
315,1557911541.4602025,1557911541.3243554,1557911541.496952,1557911541.8537052,0.3567531108856201,0.1358470916748047,0.4926002025604248
316,1557911542.4796011,1557911542.328975,1557911542.515341,1557911542.944098,0.4287569522857666,0.15062618255615234,0.579383134841919
317,1557911543.3869774,1557911543.334293,1557911543.4267411,1557911543.761643,0.3349018096923828,0.05268454551696777,0.3875863552093506
318,1557911544.4290688,1557911544.3392785,1557911544.4703948,1557911544.856508,0.38611316680908203,0.08979034423828125,0.4759035110473633
319,1557911545.4143085,1557911545.3438687,1557911545.51475,1557911545.908434,0.39368391036987305,0.07043981552124023,0.4641237258911133
320,1557911546.4558485,1557911546.3509982,1557911546.498507,1557911546.842568,0.34406089782714844,0.10485029220581055,0.448911190032959
321,1557911547.6231012,1557911547.357314,1557911547.660028,1557911548.000626,0.34059810638427734,0.26578712463378906,0.6063852310180664
322,1557911548.4125836,1557911548.3623154,1557911548.453849,1557911548.845949,0.39209985733032227,0.05026817321777344,0.4423680305480957
323,1557911549.4564998,1557911549.3674138,1557911549.55343,1557911549.887343,0.33391284942626953,0.08908605575561523,0.42299890518188477
324,1557911550.4963484,1557911550.3732069,1557911550.532556,1557911550.867282,0.33472585678100586,0.12314152717590332,0.4578673839569092
325,1557911551.4274495,1557911551.377812,1557911551.469187,1557911551.867477,0.39828991889953613,0.049637556076049805,0.44792747497558594
326,1557911552.5279212,1557911552.3843145,1557911552.5661778,1557911553.010423,0.4442451000213623,0.14360666275024414,0.5878517627716064
327,1557911553.4393635,1557911553.3904624,1557911553.69362,1557911554.042141,0.34852099418640137,0.04890108108520508,0.39742207527160645
328,1557911554.5147636,1557911554.3939672,1557911554.554353,1557911554.9483962,0.3940432071685791,0.12079644203186035,0.5148396492004395
329,1557911555.4978807,1557911555.397726,1557911555.539998,1557911555.898663,0.35866498947143555,0.10015463829040527,0.4588196277618408
330,1557911556.454802,1557911556.4017832,1557911556.498108,1557911556.8309472,0.3328392505645752,0.053018808364868164,0.38585805892944336
331,1557911557.6046062,1557911557.4074948,1557911557.642174,1557911558.025318,0.38314390182495117,0.1971113681793213,0.5802552700042725
